Stone_ID,Area,bbox,Centroid_X,Centroid_Y,is_structural,Tier,mask_index,Horizontal_Rank
8,2469,"[0, 630, 72, 44]",36.0,652.0,False,1,7,1
1,1820,"[9, 639, 63, 35]",40.5,656.5,False,1,0,2
2,1910,"[72, 638, 63, 36]",103.5,656.0,False,1,1,3
4,3487,"[71, 636, 106, 38]",124.0,655.0,False,1,3,4
3,1267,"[139, 636, 40, 38]",159.0,655.0,False,1,2,5
5,3513,"[177, 634, 93, 40]",223.5,654.0,False,1,4,6
7,3279,"[270, 632, 90, 42]",315.0,653.0,False,1,6,7
9,7935,"[363, 629, 190, 45]",458.0,651.5,True,1,8,8
11,12432,"[361, 626, 305, 48]",513.5,650.0,True,1,10,9
6,4189,"[553, 632, 113, 42]",609.5,653.0,False,1,5,10
13,3338,"[677, 622, 95, 51]",724.5,647.5,False,1,12,11
12,3975,"[759, 624, 106, 44]",812.0,646.0,False,1,11,12
10,7123,"[866, 628, 184, 46]",958.0,651.0,True,1,9,13
15,10177,"[1041, 585, 148, 89]",1115.0,629.5,True,1,14,14
14,1453,"[1151, 592, 48, 49]",1175.0,616.5,False,1,13,15
17,1801,"[0, 529, 29, 70]",14.5,564.0,False,2,16,1
18,7035,"[28, 523, 121, 70]",88.5,558.0,True,2,17,2
27,11822,"[139, 490, 130, 125]",204.0,552.5,True,2,26,3
23,12755,"[269, 496, 156, 96]",347.0,544.0,True,2,22,4
22,11662,"[420, 499, 172, 85]",506.0,541.5,True,2,21,5
16,472,"[585, 532, 18, 36]",594.0,550.0,False,2,15,6
25,5285,"[595, 492, 92, 70]",641.0,527.0,True,2,24,7
24,5953,"[688, 495, 78, 84]",727.0,537.0,True,2,23,8
19,5892,"[767, 504, 107, 68]",820.5,538.0,True,2,18,9
20,6764,"[879, 500, 102, 74]",930.0,537.0,True,2,19,10
28,18146,"[878, 490, 229, 97]",992.5,538.5,True,2,27,11
26,10383,"[982, 492, 125, 95]",1044.5,539.5,True,2,25,12
21,6994,"[1104, 500, 95, 90]",1151.5,545.0,True,2,20,13
29,2529,"[0, 453, 65, 47]",32.5,476.5,False,3,28,1
30,5491,"[60, 447, 123, 57]",121.5,475.5,True,3,29,2
31,1021,"[181, 442, 39, 34]",200.5,459.0,False,3,30,3
38,7429,"[224, 422, 125, 75]",286.5,459.5,True,3,37,4
36,11477,"[350, 432, 191, 77]",445.5,470.5,True,3,35,5
32,5759,"[543, 441, 106, 58]",596.0,470.0,True,3,31,6
33,4333,"[650, 439, 88, 54]",694.0,466.0,False,3,32,7
35,7039,"[739, 433, 117, 70]",797.5,468.0,True,3,34,8
34,8356,"[854, 434, 162, 56]",935.0,462.0,True,3,33,9
37,6724,"[1012, 423, 126, 66]",1075.0,456.0,True,3,36,10
39,1842,"[1108, 412, 68, 42]",1142.0,433.0,False,3,38,11
40,1299,"[1150, 412, 49, 53]",1174.5,438.5,False,3,39,12
45,4769,"[0, 364, 74, 74]",37.0,401.0,True,4,44,1
43,5942,"[67, 365, 96, 69]",115.0,399.5,True,4,42,2
44,2121,"[158, 365, 46, 55]",181.0,392.5,False,4,43,3
42,4014,"[201, 369, 91, 50]",246.5,394.0,False,4,41,4
46,4696,"[293, 363, 82, 64]",334.0,395.0,True,4,45,5
41,6558,"[375, 373, 133, 58]",441.5,402.0,True,4,40,6
47,7368,"[512, 354, 105, 78]",564.5,393.0,True,4,46,7
48,5084,"[616, 353, 78, 79]",655.0,392.5,True,4,47,8
49,5026,"[693, 352, 82, 71]",734.0,387.5,True,4,48,9
51,5222,"[773, 348, 111, 61]",828.5,378.5,True,4,50,10
50,9878,"[888, 348, 137, 79]",956.5,387.5,True,4,49,11
53,5629,"[1025, 343, 83, 81]",1066.5,383.5,True,4,52,12
52,4096,"[1097, 344, 76, 67]",1135.0,377.5,False,4,51,13
54,1990,"[1163, 339, 36, 69]",1181.0,373.5,False,4,53,14
55,5233,"[0, 289, 83, 67]",41.5,322.5,True,5,54,1
56,9342,"[77, 287, 147, 69]",150.5,321.5,True,5,55,2
58,5517,"[224, 285, 98, 61]",273.0,315.5,True,5,57,3
57,4026,"[322, 285, 75, 57]",359.5,313.5,False,5,56,4
59,3769,"[399, 283, 92, 47]",445.0,306.5,False,5,58,5
60,4097,"[500, 283, 93, 51]",546.5,308.5,False,5,59,6
62,5319,"[593, 277, 93, 62]",639.5,308.0,True,5,61,7
61,2599,"[681, 277, 78, 36]",720.0,295.0,False,5,60,8
66,2793,"[759, 269, 65, 47]",791.5,292.5,False,5,65,9
64,3584,"[823, 276, 96, 41]",871.0,296.5,False,5,63,10
65,3308,"[921, 271, 92, 39]",967.0,290.5,False,5,64,11
63,942,"[1016, 277, 25, 45]",1028.5,299.5,False,5,62,12
67,7362,"[1043, 266, 112, 78]",1099.0,305.0,True,5,66,13
68,3027,"[1152, 256, 47, 74]",1175.5,293.0,False,5,67,14
70,7685,"[0, 228, 133, 61]",66.5,258.5,True,6,69,1
72,4161,"[133, 226, 74, 60]",170.0,256.0,False,6,71,2
69,3130,"[205, 229, 58, 58]",234.0,258.0,False,6,68,3
71,5464,"[264, 227, 106, 55]",317.0,254.5,True,6,70,4
78,5786,"[370, 212, 91, 73]",415.5,248.5,True,6,77,5
77,5389,"[459, 212, 87, 70]",502.5,247.0,True,6,76,6
73,1636,"[547, 219, 34, 52]",564.0,245.0,False,6,72,7
74,5052,"[581, 218, 92, 60]",627.0,248.0,True,6,73,8
75,5927,"[673, 214, 105, 61]",725.5,244.5,True,6,74,9
76,5030,"[780, 212, 98, 55]",829.0,239.5,True,6,75,10
81,4501,"[874, 210, 96, 54]",922.0,237.0,False,6,80,11
82,3739,"[964, 207, 79, 55]",1003.5,234.5,False,6,81,12
79,3344,"[1043, 211, 76, 48]",1081.0,235.0,False,6,78,13
80,3320,"[1118, 210, 81, 45]",1158.5,232.5,False,6,79,14
83,5939,"[42, 176, 125, 51]",104.5,201.5,True,7,82,1
85,4140,"[163, 170, 85, 52]",205.5,196.0,False,7,84,2
84,4427,"[246, 172, 85, 55]",288.5,199.5,False,7,83,3
87,4053,"[328, 165, 77, 61]",366.5,195.5,False,7,86,4
88,3554,"[404, 165, 88, 48]",448.0,189.0,False,7,87,5
86,3473,"[494, 168, 79, 48]",533.5,192.0,False,7,85,6
93,4561,"[574, 161, 92, 55]",620.0,188.5,True,7,92,7
91,4047,"[668, 163, 79, 54]",707.5,190.0,False,7,90,8
94,4001,"[747, 159, 91, 53]",792.5,185.5,False,7,93,9
90,3322,"[837, 164, 82, 47]",878.0,187.5,False,7,89,10
89,3647,"[913, 164, 100, 40]",963.0,184.0,False,7,88,11
92,959,"[1016, 163, 40, 37]",1036.0,181.5,False,7,91,12
95,4307,"[1059, 153, 84, 64]",1101.0,185.0,False,7,94,13
96,3153,"[1140, 151, 59, 58]",1169.5,180.0,False,7,95,14
97,4674,"[129, 130, 123, 47]",190.5,153.5,True,8,96,1
111,3372,"[167, 81, 71, 50]",202.5,106.0,False,8,110,2
99,8746,"[130, 125, 217, 51]",238.5,150.5,True,8,98,3
128,3014,"[220, 41, 91, 39]",265.5,60.5,False,8,127,4
112,3329,"[238, 78, 70, 51]",273.0,103.5,False,8,111,5
138,2615,"[254, 21, 97, 35]",302.5,38.5,False,8,137,6
116,3790,"[307, 74, 75, 56]",344.5,102.0,False,8,115,7
124,1496,"[315, 55, 75, 21]",352.5,65.5,False,8,123,8
150,1740,"[338, 0, 86, 23]",381.0,11.5,False,8,149,9
103,1615,"[363, 123, 46, 41]",386.0,143.5,False,8,102,10
139,2872,"[349, 18, 98, 37]",398.0,36.5,False,8,138,11
